@relation mushrooms

@attribute type {p,e}
@attribute cap_shape {x,b,s,f,k,c}
@attribute cap_surface {s,y,f,g}
@attribute cap_color {n,y,w,g,e,p,b,u,c,r}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute stalk_shape {e,t}
@attribute stalk_color_above_ring {w,g,p,n,b,e,o,c,y}
@attribute stalk_color_below_ring {w,p,g,b,n,e,y,o,c}
@attribute ring_number {o,t,n}
@attribute ring_type {p,e,l,f,n}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}

@data
p,x,s,n,p,e,w,w,o,p,s,u
e,x,s,y,a,e,w,w,o,p,n,g
e,b,s,w,l,e,w,w,o,p,n,m
p,x,y,w,p,e,w,w,o,p,s,u
e,x,s,g,n,t,w,w,o,e,a,g
e,x,y,y,a,e,w,w,o,p,n,g
e,b,s,w,a,e,w,w,o,p,n,m
e,b,y,w,l,e,w,w,o,p,s,m
p,x,y,w,p,e,w,w,o,p,v,g
e,b,s,y,a,e,w,w,o,p,s,m
e,x,y,y,l,e,w,w,o,p,n,g
e,x,y,y,a,e,w,w,o,p,s,m
e,b,s,y,a,e,w,w,o,p,s,g
p,x,y,w,p,e,w,w,o,p,v,u
e,x,f,n,n,t,w,w,o,e,a,g
e,s,f,g,n,e,w,w,o,p,y,u
e,f,f,w,n,t,w,w,o,e,a,g
p,x,s,n,p,e,w,w,o,p,s,g
p,x,y,w,p,e,w,w,o,p,s,u
p,x,s,n,p,e,w,w,o,p,s,u
e,b,s,y,a,e,w,w,o,p,s,m
p,x,y,n,p,e,w,w,o,p,v,g
e,b,y,y,l,e,w,w,o,p,s,m
e,b,y,w,a,e,w,w,o,p,n,m
e,b,s,w,l,e,w,w,o,p,s,m
p,f,s,w,p,e,w,w,o,p,v,g
e,x,y,y,a,e,w,w,o,p,n,m
e,x,y,w,l,e,w,w,o,p,n,m
e,f,f,n,n,e,w,w,o,p,y,u
e,x,s,y,a,t,w,w,o,p,v,d
e,b,s,y,l,e,w,w,o,p,n,m
p,x,y,w,p,e,w,w,o,p,s,u
e,x,y,y,l,e,w,w,o,p,n,m
e,x,y,n,l,e,w,w,o,p,y,p
e,b,y,y,l,e,w,w,o,p,s,m
e,x,f,y,l,t,w,w,o,p,v,d
e,s,f,g,n,e,w,w,o,p,v,u
p,x,y,n,p,e,w,w,o,p,s,u
e,x,f,y,a,t,w,w,o,p,v,d
e,b,s,y,l,e,w,w,o,p,s,m
e,b,y,y,a,e,w,w,o,p,s,g
e,x,y,y,l,e,w,w,o,p,y,p
e,x,f,n,n,e,w,w,o,p,y,u
p,x,y,w,p,e,w,w,o,p,v,g
e,x,s,y,a,e,w,w,o,p,n,m
e,x,y,w,a,e,w,w,o,p,n,g
e,x,y,y,l,e,w,w,o,p,s,m
e,x,s,w,l,e,w,w,o,p,n,m
e,x,y,y,l,e,w,w,o,p,s,p
e,f,y,y,l,e,w,w,o,p,s,p
e,x,y,n,a,e,w,w,o,p,s,g
e,x,s,w,l,e,w,w,o,p,s,g
e,b,s,w,l,e,w,w,o,p,n,m
p,x,y,n,p,e,w,w,o,p,v,u
p,x,s,w,p,e,w,w,o,p,v,u
e,b,y,y,a,e,w,w,o,p,s,m
e,f,f,g,n,t,w,w,o,e,a,g
e,b,s,w,a,e,w,w,o,p,n,g
e,x,s,y,l,e,w,w,o,p,n,g
e,x,y,n,a,e,w,w,o,p,y,p
e,s,f,g,n,e,w,w,o,p,v,u
e,b,y,y,a,e,w,w,o,p,s,m
e,b,s,y,l,e,w,w,o,p,s,m
e,b,y,y,l,e,w,w,o,p,n,m
e,b,y,w,l,e,w,w,o,p,s,g
e,f,s,n,n,t,w,w,o,e,a,g
e,x,s,w,l,e,w,w,o,p,s,g
e,f,y,y,a,e,w,w,o,p,s,g
e,x,y,y,a,e,w,w,o,p,n,g
e,x,f,g,n,e,w,w,o,p,v,u
e,f,f,y,l,t,w,w,o,p,v,d
e,b,y,w,l,e,w,w,o,p,s,m
e,f,f,y,l,t,w,w,o,p,v,d
e,x,y,n,a,e,w,w,o,p,s,p
e,b,s,y,a,e,w,w,o,p,s,g
e,f,s,y,l,t,w,w,o,p,v,d
e,x,s,w,l,t,w,w,o,p,v,d
e,f,y,n,l,e,w,w,o,p,y,p
p,x,y,n,p,e,w,w,o,p,v,u
e,f,y,n,a,e,w,w,o,p,y,g
e,x,s,n,n,t,w,w,o,e,s,g
p,x,y,w,p,e,w,w,o,p,s,g
e,f,f,g,n,e,w,w,o,p,y,u
e,x,f,g,n,t,w,w,o,e,s,g
e,x,y,y,l,e,w,w,o,p,s,g
