age,workclass,education,marital-status,occupation,race,gender,hours-per-week,income
20-30,Private,11th,Never-married,Machine-op-inspct,Black,0,20-40,<=50K
30-40,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,0,40-60,<=50K
20-30,Local-gov,Assoc-acdm,Married-civ-spouse,Protective-serv,White,0,20-40,>50K
40-50,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Black,0,20-40,>50K
30-40,Private,10th,Never-married,Other-service,White,0,20-40,<=50K
60-70,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
20-30,Private,Some-college,Never-married,Other-service,White,1,20-40,<=50K
50-60,Private,7th-8th,Married-civ-spouse,Craft-repair,White,0,0-20,<=50K
60-70,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,20-40,>50K
30-40,Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,White,0,20-40,<=50K
20-30,Private,HS-grad,Never-married,Adm-clerical,White,1,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,White,0,40-60,>50K
40-50,Private,Masters,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
0-20,State-gov,Some-college,Never-married,Other-service,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Adm-clerical,White,1,20-40,<=50K
30-40,Private,HS-grad,Widowed,Machine-op-inspct,White,1,0-20,<=50K
30-40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Asian-Pac-Islander,0,40-60,>50K
30-40,Private,Bachelors,Married-civ-spouse,Tech-support,White,0,40-60,>50K
30-40,Private,Some-college,Never-married,Other-service,Black,1,20-40,<=50K
20-30,Private,Bachelors,Never-married,Prof-specialty,White,0,40-60,<=50K
20-30,Private,Bachelors,Married-civ-spouse,Prof-specialty,White,0,20-40,<=50K
40-50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,White,0,80-100,>50K
20-30,Private,HS-grad,Never-married,Adm-clerical,White,0,0-20,<=50K
20-30,Private,HS-grad,Separated,Machine-op-inspct,Black,0,40-60,<=50K
50-60,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
30-40,Self-emp-not-inc,Some-college,Never-married,Prof-specialty,White,0,40-60,<=50K
40-50,State-gov,Some-college,Married-civ-spouse,Exec-managerial,Black,0,20-40,>50K
50-60,Self-emp-not-inc,11th,Widowed,Other-service,White,1,40-60,<=50K
20-30,Self-emp-not-inc,Bachelors,Never-married,Sales,White,0,40-60,<=50K
20-30,Local-gov,Some-college,Married-civ-spouse,Protective-serv,White,0,20-40,<=50K
20-30,Private,HS-grad,Divorced,Exec-managerial,White,1,20-40,<=50K
30-40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,White,0,20-40,>50K
20-30,Private,5th-6th,Never-married,Priv-house-serv,White,0,40-60,<=50K
0-20,Private,10th,Never-married,Machine-op-inspct,White,0,20-40,<=50K
0-20,Private,HS-grad,Never-married,Craft-repair,White,0,20-40,<=50K
60-70,Private,Masters,Married-civ-spouse,Prof-specialty,White,0,40-60,>50K
40-50,Self-emp-inc,Assoc-voc,Married-civ-spouse,Sales,White,0,40-60,>50K
30-40,Private,HS-grad,Married-civ-spouse,Farming-fishing,White,0,20-40,<=50K
20-30,Private,11th,Married-civ-spouse,Other-service,White,0,20-40,<=50K
0-20,State-gov,Some-college,Never-married,Farming-fishing,White,0,20-40,<=50K
20-30,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,White,1,20-40,>50K
30-40,Private,7th-8th,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
50-60,Private,Some-college,Married-civ-spouse,Transport-moving,White,0,40-60,<=50K
50-60,Private,11th,Separated,Priv-house-serv,Black,1,0-20,<=50K
50-60,Self-emp-inc,HS-grad,Widowed,Exec-managerial,White,1,40-60,<=50K
0-20,Private,Some-college,Never-married,Other-service,White,0,0-20,<=50K
30-40,Private,HS-grad,Divorced,Handlers-cleaners,Black,0,20-40,<=50K
20-30,Private,Some-college,Never-married,Other-service,White,1,20-40,<=50K
20-30,Private,HS-grad,Never-married,Other-service,White,0,40-60,>50K
30-40,Private,9th,Married-spouse-absent,Exec-managerial,White,0,40-60,<=50K
20-30,Private,Some-college,Never-married,Adm-clerical,White,1,20-40,<=50K
60-70,Private,HS-grad,Married-civ-spouse,Craft-repair,White,0,20-40,<=50K
30-40,Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
40-50,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
30-40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,White,0,20-40,<=50K
20-30,Private,Bachelors,Never-married,Exec-managerial,White,1,40-60,<=50K
30-40,Private,Some-college,Divorced,Sales,White,0,20-40,<=50K
20-30,Private,Masters,Never-married,Exec-managerial,White,1,20-40,<=50K
30-40,Private,HS-grad,Never-married,Machine-op-inspct,White,1,20-40,<=50K
40-50,Local-gov,HS-grad,Divorced,Adm-clerical,White,1,20-40,<=50K
40-50,Private,Bachelors,Never-married,Other-service,White,1,20-40,<=50K
40-50,Self-emp-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,White,0,40-60,>50K
0-20,Private,Some-college,Never-married,Other-service,White,0,0-20,<=50K
40-50,Private,HS-grad,Separated,Transport-moving,White,0,20-40,<=50K
40-50,Private,HS-grad,Married-civ-spouse,Sales,White,0,40-60,<=50K
50-60,Private,Some-college,Married-civ-spouse,Exec-managerial,White,0,40-60,>50K
