@relation DeerHunter_missing

@attribute wtdeer numeric
@attribute state numeric
@attribute urban numeric
@attribute race numeric
@attribute retire numeric
@attribute employ numeric
@attribute educ numeric
@attribute married numeric
@attribute income numeric
@attribute gender numeric
@attribute age numeric
@attribute huntexp numeric
@attribute agehunt numeric
@attribute trips numeric
@attribute bagdeer numeric
@attribute numbag numeric
@attribute bagbuck numeric
@attribute avgcost numeric
@attribute totcost numeric
@attribute a numeric
@attribute yes numeric

@data
0.60193,26,3,1,0,1,12,1,15000,1,18,11,7,75,1,1,1,15,1125,139,1
0.920266,48,3,1,2,0,11,0,27500,1,18,8,10,3,1,1,1,10,30,27,1
0.339394,13,3,1,0,1,20,1,15000,1,18,6,12,5,1,1,1,10,50,45,1
0.808089,43,1,1,2,0,20,0,5000,1,18,10,8,15,0,0,0,5,75,491,1
0.484432,17,2,1,0,1,20,0,5000,1,18,5,13,1,1,1,0,125,125,289,2
0.583316,21,2,1,0,1,10,0,15000,1,19,8,11,30,0,0,0,4,120,139,1
0.636843,26,3,1,0,1,12,0,15000,1,19,9,10,63,1,2,1,1,63,289,1
0.557583,16,1,1,2,0,20,0,5000,1,?,6,13,3,1,1,1,50,150,202,1
1.712399,48,3,1,4,0,12,0,5000,1,19,8,11,18,1,1,1,45,810,953,2
0.334734,13,1,1,0,1,12,0,15000,1,19,2,17,2,0,0,0,100,200,45,2
2.176796,18,3,1,0,1,11,0,22500,1,19,3,16,1,0,0,0,80,80,491,1
0.881458,47,2,1,4,0,12,1,15000,1,19,11,8,3,0,0,0,15,45,491,1
1.020913,34,3,1,0,1,21,1,15000,1,19,9,10,50,1,3,1,20,1000,953,1
2.124181,11,2,1,0,1,9,1,27500,0,19,8,11,7,1,0,0,2,14,139,2
2.223955,44,1,1,0,1,12,0,40000,1,19,11,8,21,0,0,0,15,315,202,1
0.731004,19,3,1,0,1,9,0,40000,1,19,13,6,5,1,1,1,30,150,491,2
0.572765,6,2,1,2,0,20,0,5000,1,19,4,15,8,0,0,0,15,120,491,2
0.308994,51,1,1,2,0,20,0,5000,1,19,7,12,1,1,1,1,100,100,139,1
0.384617,42,2,1,0,1,12,0,15000,1,19,7,12,8,1,1,1,17,136,953,2
0.384617,42,2,1,0,1,12,1,62500,1,19,6,13,5,1,1,1,4,20,953,1
0.142067,35,1,1,2,0,21,0,15000,1,19,7,12,20,1,3,1,25,500,139,1
0.597805,6,1,1,2,0,20,0,5000,1,19,13,6,2,1,1,1,60,120,953,2
0.792241,31,1,1,0,1,12,1,40000,1,20,2,18,2,1,1,1,250,500,45,1
1.709096,40,2,1,2,0,20,0,27500,1,20,8,12,6,0,0,0,0.333333,2,289,2
3.342202,40,1,1,0,1,21,0,27500,1,20,12,8,4,1,2,1,100,400,491,1
0.486143,49,2,1,0,1,21,1,22500,1,20,9,11,14,1,4,1,28.571429,400,99,1
3.280511,36,2,1,0,1,12,1,15000,1,20,13,7,1,1,2,1,120,120,491,1
1.416403,23,2,1,4,0,21,0,22500,1,20,6,14,3,0,0,0,300,900,289,1
2.567336,23,1,1,0,1,12,0,5000,1,20,4,16,7,0,0,0,14.285714,100,289,2
0.628459,15,1,1,0,1,22,0,15000,1,20,10,10,100,1,1,1,5,500,139,2
0.6089,26,1,1,0,1,12,1,15000,1,20,13,7,42,0,0,0,20,840,953,2
0.60193,26,3,1,0,1,12,0,5000,1,20,10,10,15,1,1,1,75,1125,289,1
0.337494,13,1,1,0,1,12,1,15000,1,20,6,14,1,1,1,0,20,20,289,2
1.719382,11,2,1,0,1,11,1,15000,1,20,6,14,1,1,1,0,25,25,45,2
1.121693,1,1,1,0,1,21,1,27500,1,20,11,9,5,0,0,0,40,200,139,1
0.865908,1,2,1,0,1,10,1,15000,1,20,6,14,10,1,2,1,15,150,99,1
0.484432,17,2,1,0,1,12,0,27500,1,20,6,14,20,1,2,1,2,40,289,2
0.35615,42,2,1,0,1,22,0,5000,1,20,6,14,5,1,1,0,20,100,289,2
0.349934,45,1,1,2,0,22,0,15000,1,20,4,16,1,0,0,0,100,100,953,1
0.254969,27,2,1,2,0,21,0,5000,1,20,8,12,3,1,2,1,45,135,491,2
0.322992,51,3,0,0,1,10,1,27500,1,20,6,14,9,1,2,1,35,315,9,1
0.522674,27,1,1,0,1,22,1,5000,0,20,1,19,1,1,1,1,5,5,289,2
0.379755,7,2,1,0,1,22,0,15000,1,21,9,12,60,0,0,0,10,600,289,1
0.130625,39,1,1,0,1,12,0,40000,1,21,5,16,2,0,0,0,100,200,491,2
2.522801,33,2,1,4,0,10,0,5000,1,21,5,16,5,1,1,0,5,25,953,1
2.703093,33,1,1,2,0,23,0,5000,1,21,5,16,1,0,0,0,30,30,202,1
1.125021,22,2,1,0,1,20,1,22500,1,21,8,13,12,1,1,0,50,600,491,1
0.136666,8,2,1,0,1,22,0,40000,1,21,11,10,8,0,0,0,5,40,953,2
1.682067,40,3,1,0,1,12,1,15000,1,21,9,12,5,1,1,1,1,5,953,2
3.501866,40,3,1,2,0,23,0,5000,1,21,8,13,1,1,1,1,6,6,289,2
1.726102,40,1,1,0,1,23,0,5000,1,21,14,7,5,0,0,0,16,80,491,1
1.76298,40,2,1,0,1,23,0,5000,0,21,9,12,5,0,0,0,3,15,491,2
1.682067,40,3,1,0,1,9,1,22500,1,21,9,12,16,1,2,0,20,320,289,1
0.16204,8,2,1,2,0,22,0,15000,1,21,9,12,3,1,1,1,25,75,289,1
1.416403,23,2,1,4,0,10,1,15000,1,21,5,16,2,0,0,0,50,100,202,2
3.14706,36,3,1,4,0,12,1,5000,1,21,9,12,1,0,0,0,15,15,491,2
0.621239,15,2,1,0,1,12,1,40000,1,21,11,10,20,1,1,0,5,100,491,1
0.557583,16,1,1,0,1,12,1,15000,1,21,9,12,50,1,1,0,3,150,289,1
3.850131,14,2,1,0,1,12,0,40000,1,21,7,14,40,1,2,1,5,200,953,2
1.173192,24,2,1,2,0,12,0,15000,1,21,8,13,14,1,1,0,5,70,139,1
0.944449,50,2,1,0,0,22,0,15000,1,21,4,17,9,1,1,1,3,27,9,1
0.983907,50,2,1,2,0,22,0,?,1,21,9,12,9,0,0,0,4,36,491,2
0.944449,50,2,0,0,1,10,1,22500,1,21,13,8,2,1,1,0,105,210,953,2
0.299043,35,1,1,2,0,22,1,15000,1,21,7,14,1,1,1,0,120,120,953,2
0.543282,38,2,1,2,0,22,0,15000,1,21,9,12,6,1,1,1,75,450,953,2
1.060968,38,2,1,0,1,12,1,22500,1,21,9,12,2,0,0,0,120,240,491,1
0.904853,48,2,1,0,1,12,0,40000,1,21,16,5,7,1,1,1,20,140,491,1
0.773136,13,2,1,4,0,8,1,5000,1,21,9,12,2,1,1,0,5,10,289,2
0.6796,13,2,1,0,1,12,0,40000,1,21,9,12,2,0,0,0,35,70,289,1
1.712399,48,2,1,0,1,21,1,15000,1,21,9,12,3,1,2,1,25,75,491,2
0.536391,38,2,1,2,0,22,0,5000,1,21,11,10,4,1,1,1,20,80,491,2
0.48811,49,3,1,4,0,11,1,5000,1,21,9,12,6,1,1,1,65,390,953,2
0.986617,34,3,1,0,1,12,1,15000,1,21,9,12,12,1,1,1,20,240,289,2
1.317565,1,3,1,0,1,12,0,22500,1,21,12,9,1,0,0,0,5,5,491,2
0.861609,1,2,1,2,0,23,0,5000,1,21,11,10,3,1,2,1,20,60,953,2
0.865908,1,2,1,0,1,11,1,15000,1,21,12,9,6,0,0,0,15,90,491,2
0.803038,43,3,1,0,1,12,0,40000,1,21,12,9,70,1,2,1,10,700,45,1
0.803038,43,3,1,0,1,11,0,5000,1,21,11,10,25,0,0,0,10,250,491,1
1.009512,11,2,1,0,1,21,0,27500,1,21,11,10,10,0,0,0,10,100,202,1
0.832821,1,3,1,0,1,12,1,40000,1,21,15,6,30,1,9,1,2,60,289,1
2.224315,44,1,1,0,1,22,1,27500,1,21,9,12,6,0,0,0,83.333333,500,289,1
1.235308,4,2,1,3,0,9,1,5000,0,21,15,6,30,1,1,1,50,1500,491,1
0.748517,25,3,1,0,1,22,1,15000,1,21,16,5,5,1,1,1,50,250,491,2
2.57762,25,1,1,0,1,21,0,22500,0,21,0,22,5,0,0,0,25,125,289,1
0.682803,25,2,1,0,1,22,1,27500,1,21,12,9,6,1,1,1,15,90,69,1
0.743074,25,1,1,0,1,22,1,15000,1,21,11,10,7,1,3,1,30,210,202,2
1.175162,4,3,1,0,1,12,1,15000,1,21,14,7,3,1,1,1,10,30,45,1
0.777281,25,2,1,0,1,21,1,15000,1,21,8,13,30,1,2,1,25,750,202,1
0.767521,37,2,1,0,1,22,1,22500,1,21,15,6,6,0,0,0,15,90,139,2
1.185362,6,2,0,0,1,11,1,22500,0,21,6,15,1,1,1,0,300,300,202,1
0.144548,35,1,1,2,0,22,0,15000,1,21,10,11,10,1,1,1,5,50,491,1
0.299043,35,2,1,2,0,21,0,5000,1,21,9,12,2,1,1,0,20,40,953,2
0.658464,3,2,1,0,1,22,0,5000,1,21,12,9,12,1,1,1,50,600,69,1
0.644308,6,2,1,0,1,12,1,27500,1,21,7,14,3,1,1,1,40,120,202,1
0.299043,35,2,1,2,0,22,1,5000,1,21,7,14,1,1,1,1,25,25,491,1
0.254969,27,1,1,0,1,22,0,40000,1,21,9,12,40,1,2,1,15,600,9,1
0.239131,30,2,1,0,1,12,1,40000,1,22,7,15,15,0,0,0,5,75,953,2
0.185278,46,2,1,0,1,21,0,15000,1,22,8,14,5,0,0,0,30,150,202,2
0.145703,8,2,1,4,0,9,0,40000,1,22,10,12,100,1,1,1,10,1000,27,1
0.515617,49,3,1,4,0,12,1,5000,1,22,6,16,7,0,0,0,2,14,202,2
2.282781,23,3,1,0,1,21,0,5000,1,22,8,14,1,0,0,0,110,110,953,2
1.07541,36,3,1,0,1,12,1,40000,1,22,10,12,20,1,1,1,20,400,491,1
2.214713,23,2,1,0,1,11,1,15000,1,22,1,21,8,0,0,0,10,80,953,2
1.414795,23,3,1,0,1,10,1,15000,1,22,10,12,11,1,1,1,2,22,139,1
1.216382,14,2,1,0,1,23,0,5000,1,22,11,11,120,1,1,0,4,480,491,1
0.484432,17,2,1,0,1,23,0,5000,1,22,11,11,40,0,0,0,1,40,289,1
